15:50:22, Fri Nov 27, 2015: User: mewing, xQuest Search Submitted from /IMSB/ra/mewing/8ProteinNewXquestMods.
12:57:14, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/UUUU.
12:58:56, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/GGCA.
13:0:42, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/CACC.
13:2:26, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/UGGA.
13:4:9, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/UCCA.
13:5:55, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/CUAU.
13:7:40, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/AUUU.
13:9:23, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/GGAA.
13:11:6, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/GCAA.
13:12:50, Wed Feb 14, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2017_05_PTBP1/ETD_steps_2_tetra/ACCA.
13:33:55, Wed Feb 14, 2018: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/TRiC-p53_Feb18.
14:33:32, Thu Feb 15, 2018: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1712_C4a_MLN_S3_HR_hcd_looseCP.
12:57:1, Fri Feb 16, 2018: User: ejensen, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ejensen/BSA.
13:38:55, Fri Feb 16, 2018: User: ejensen, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ejensen/BSA.
13:29:44, Mon Feb 19, 2018: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Lumos_check_hr_Feb18.
13:30:51, Mon Feb 19, 2018: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/Lumos_check_lr_Feb18.
17:11:46, Mon Feb 19, 2018: User: aleitner, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/aleitner/TRiC-p53_Feb18.
20:6:30, Mon Feb 19, 2018: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1802_C4a_MLN_OPT_SM_HR_43p.
20:8:9, Mon Feb 19, 2018: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1802_C4a_MLN_OPT_SM_HR_34p.
20:9:9, Mon Feb 19, 2018: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1802_C4a_MLN_OPT_SM_HR_54p.
20:11:0, Mon Feb 19, 2018: User: mfaini, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/mfaini/xlres/1802_C4a_MLN_OPT_SM_HR_25p.
19:43:16, Tue Feb 20, 2018: User: jboshart, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/jboshart/SDA_crosslinking.
19:44:4, Tue Feb 20, 2018: User: jboshart, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/jboshart/SDA_crosslinking_new.
18:33:29, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:33:44, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:34:59, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:38:7, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:38:12, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:38:43, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:39:28, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:39:59, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:41:8, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:41:53, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:44:16, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_88/analysis/ANALYSISFOLDER.
18:51:0, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_87/analysis/ANALYSISFOLDER.
18:56:59, Sun Feb 25, 2018: User: ulianaf, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/ulianaf/Experiment/Ex12_DARXL/Federico_DARPins_GFP/DARXL_88_B/analysis/ANALYSISFOLDER.
16:7:36, Thu Mar 1, 2018: User: halebe, xQuest Search Submitted from /cluster/home/halebe/AnalysisFolder.
17:39:40, Thu Mar 1, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/AnalysisFolder.
10:43:14, Fri Mar 2, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180302_Analysis.
11:1:22, Fri Mar 2, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180302_Analysis.
11:20:7, Fri Mar 2, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180302_Analysis.
12:36:39, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:40, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:40, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:40, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:40, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:40, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:41, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:41, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:41, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:41, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:43, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:43, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:43, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:43, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:44, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:44, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:44, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:44, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:44, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:45, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:45, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:45, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:45, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:45, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:46, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:46, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:46, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
12:36:46, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /cluster/home/sarnowsc.
13:50:49, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/U.
13:57:19, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UU.
14:3:50, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UUU.
14:10:22, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/G.
14:16:52, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GU.
14:25:58, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GUU.
14:32:25, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GG.
14:38:51, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GGG.
14:45:15, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/C.
14:52:4, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UC.
14:58:32, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UUC.
15:4:57, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UUUC.
15:11:21, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GC.
15:17:46, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GCU.
15:26:25, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GCUU.
15:32:47, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GCG.
15:39:13, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GCGU.
15:45:38, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/CC.
15:52:19, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UCC.
15:58:41, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UUCC.
16:5:2, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/CGC.
16:11:25, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/CGCU.
16:17:51, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GCGC.
16:26:32, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/CCC.
16:33:0, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/UCCC.
16:40:37, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/A.
16:47:5, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GA.
16:53:31, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GGA.
17:0:0, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GGGA.
17:6:21, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/AC.
17:12:42, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/ACU.
17:19:5, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/GAC.
17:26:24, Mon Mar 5, 2018: User: sarnowsc, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/sarnowsc/2018_03_PTBRRM12/Digest_Comp_Lumos/ACUG.
17:43:13, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/U.
17:43:13, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UU.
17:43:13, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UUU.
17:43:13, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/G.
17:43:13, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GU.
17:43:14, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GUU.
17:43:14, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GG.
17:43:14, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GGG.
17:43:14, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/C.
17:43:14, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UC.
17:43:15, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UUC.
17:43:15, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UUUC.
17:43:15, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GC.
17:43:15, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GCU.
17:43:15, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GCUU.
17:43:16, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GCG.
17:43:16, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GCGU.
17:43:16, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/CC.
17:43:16, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UCC.
17:43:16, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UUCC.
17:43:17, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/CGC.
17:43:17, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/CGCU.
17:43:17, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GCGC.
17:43:17, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/CCC.
17:43:17, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UCCC.
17:43:18, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/A.
17:43:18, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GA.
17:43:18, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GGA.
17:43:18, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GGGA.
17:43:18, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/AC.
17:43:19, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/ACU.
17:43:19, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GAC.
17:43:19, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/ACUG.
17:48:12, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/U.
17:49:1, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UU.
17:49:51, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UUU.
17:50:40, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/G.
17:51:29, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GU.
17:52:20, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GUU.
17:53:7, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GG.
17:53:54, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/GGG.
17:54:40, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/C.
17:55:28, Mon Mar 5, 2018: User: halebe, xQuest Search Submitted from /nfs/nas21.ethz.ch/nas/fs2102/biol_ibt_usr_s1/halebe/180305_Analysis/UC.
